pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,certification-err=1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.1: error below,certification-result,certification-time,certification-err=1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.3: error when ,certification-err=1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.4: error when ,certification-err=1: error below AC-dependency pair processor 1.2: error below the dependency graph processor 1.2.1: error below,certification-err=1: error below AC-dependency pair processor 1.2: error while trying to perform Sctxt_closure-decomposition on ,certification-err=1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.2: error when ,certification-err=1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.1: error when 
516331393,TRS_Equational/Mixed_AC_and_C/AC29.xml,13152974,AProVE21,33789,certified,551426,complete,6.019573382,2.3265209198,4.78359552E8,YES,-,CERTIFIED,0.14,-,-,-,-,-,-
516331394,TRS_Equational/Mixed_AC_and_C/AC29.xml,13152974,NaTT 1.6.1,29473,Certifiable,360199,complete,0.054183613,0.0993390083313,7503872.0,YES,-,CERTIFIED,0.27,-,-,-,-,-,-
516331395,TRS_Equational/AProVE_AC_04/AC01.xml,13152936,AProVE21,33789,certified,551426,complete,5.30032384,2.07061886787,4.68353024E8,YES,-,CERTIFIED,0.02,-,-,-,-,-,-
516331396,TRS_Equational/AProVE_AC_04/AC01.xml,13152936,NaTT 1.6.1,29473,Certifiable,360199,complete,0.034217537,0.0497918128967,5931008.0,YES,-,CERTIFIED,0.12,-,-,-,-,-,-
516331397,TRS_Equational/AProVE_AC_04/AC06.xml,13152937,AProVE21,33789,certified,551426,complete,6.765241296,2.52912402153,4.8033792E8,YES,-,CERTIFIED,0.14,-,-,-,-,-,-
516331398,TRS_Equational/AProVE_AC_04/AC06.xml,13152937,NaTT 1.6.1,29473,Certifiable,360199,complete,0.163543924,0.168999910355,1.2632064E7,YES,-,REJECTED,0.63,-,-,-,-,-,1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.1: error when applying AC-reduct
516331399,TRS_Equational/AProVE_AC_04/AC48.xml,13152938,AProVE21,33789,certified,551426,complete,5.537868491,2.12213683128,4.7316992E8,YES,-,CERTIFIED,0.05,-,-,-,-,-,-
516331400,TRS_Equational/AProVE_AC_04/AC48.xml,13152938,NaTT 1.6.1,29473,Certifiable,360199,complete,0.084864098,0.111758947372,8900608.0,YES,-,REJECTED,0.34,-,-,-,-,-,1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.1: error when applying AC-reduct
516331401,TRS_Equational/AProVE_AC_04/AC41.xml,13152939,AProVE21,33789,certified,551426,complete,7.189601975,2.98499798775,4.89893888E8,YES,-,CERTIFIED,0.22,-,-,-,-,-,-
516331402,TRS_Equational/AProVE_AC_04/AC41.xml,13152939,NaTT 1.6.1,29473,Certifiable,360199,complete,0.05729231,0.0874991416931,8925184.0,YES,-,CERTIFIED,0.29,-,-,-,-,-,-
516331403,TRS_Equational/AProVE_AC_04/AC50.xml,13152940,AProVE21,33789,certified,551426,complete,9.613533777,3.54374408722,6.70859264E8,YES,-,CERTIFIED,0.09,-,-,-,-,-,-
516331404,TRS_Equational/AProVE_AC_04/AC50.xml,13152940,NaTT 1.6.1,29473,Certifiable,360199,complete,0.093046516,0.113903045654,6881280.0,YES,-,CERTIFIED,0.52,-,-,-,-,-,-
